Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",2884.76
Panteón de España,Instalaciones accesibles NO municipales,Calle Julian Gayarre 3,Bicipark Almagro,"Calle Almagro, 11",2886.73
Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,Bicipark Almagro,"Calle Almagro, 11",2887.81
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",2889.73
La Neomudéjar,Instalaciones accesibles NO municipales,Calle Antonio Nebrija  Sin Número,Bicipark Salamanca,Pl. del Marqués de Salamanca,2892.09
Oficina de Empleo Argüelles,Instalaciones accesibles NO municipales,Calle Evaristo San Miguel 8,Bicipark Montalban,"Calle de Montalbán, 5",2894.76
Biblioteca Pública Elena Fortún (Retiro),Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 189,Bicipark Recoletos,"Paseo de Recoletos, 2",2895.49
Centro de día Argüelles,Instalaciones accesibles NO municipales,Calle Andres Mellado 31,Bicipark Recoletos,"Paseo de Recoletos, 2",2898.13
Intercambiador de transporte. Méndez Álvaro - Estación Sur,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,Bicipark Montalban,"Calle de Montalbán, 5",2902.26
Estación Sur de Autobuses de Madrid,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,Bicipark Montalban,"Calle de Montalbán, 5",2905.07
Aparcamiento público Saba Estación Madrid Atocha P2 y P3,Instalaciones accesibles NO municipales,Paseo Infanta Isabel  Sin Número,Bicipark Salamanca,Pl. del Marqués de Salamanca,2905.84
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,Bicipark Recuerdo,"Calle Hiedra, 26",2911.89
Norte Joven Fuencarral,Instalaciones accesibles NO municipales,Calle Ribadavia 20,Bicipark Recuerdo,"Calle Hiedra, 26",2919.66
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,Bicipark Recoletos,"Paseo de Recoletos, 2",2919.74
Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2920.54
Oficina de Correos. Sucursal 31. Calle Islas Palaos,Instalaciones accesibles NO municipales,Calle Islas Palaos 30,Bicipark Recuerdo,"Calle Hiedra, 26",2922.17
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,Bicipark Salamanca,Pl. del Marqués de Salamanca,2922.22
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,Bicipark Recuerdo,"Calle Hiedra, 26",2925.23
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,Bicipark Orense,"Avenida General Perón, 27",2925.51
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),Instalaciones accesibles NO municipales,Avenida Poblados 51,Bicipark Aviación,Parking Aviación Española,2926.44
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",2926.93
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),Instalaciones accesibles NO municipales,Calle Javier Del Quinto,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,2930.22
Instituto de Educación Secundaria (IES) Príncipe Felipe,Instalaciones accesibles NO municipales,Calle Finisterre 60,Bicipark Recuerdo,"Calle Hiedra, 26",2931.25
Centro de día para mayores Saraiva,Instalaciones accesibles NO municipales,Calle Fundadores 10,Bicipark Almagro,"Calle Almagro, 11",2933.16
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2935.87
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,Bicipark Salamanca,Pl. del Marqués de Salamanca,2941.58
Estación ferroviaria Madrid Puerta de Atocha,Instalaciones accesibles NO municipales,Plaza Emperador Carlos V,Bicipark Salamanca,Pl. del Marqués de Salamanca,2941.8
Cine Cinesa Méndez Álvaro,Instalaciones accesibles NO municipales,Calle Acanto 2,Bicipark Montalban,"Calle de Montalbán, 5",2944.49
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,Bicipark Orense,"Avenida General Perón, 27",2948.81
Centro de día para mayores Saraiva,Instalaciones accesibles NO municipales,Calle Fundadores 10,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",2955.53
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,Bicipark Recoletos,"Paseo de Recoletos, 2",2960.73
Oficina de Correos. Sucursal 31. Calle Islas Palaos,Instalaciones accesibles NO municipales,Calle Islas Palaos 30,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,2970.79
"Residencia, centro de día y centro ocupacional Ángel de la Guarda",Instalaciones accesibles NO municipales,Avenida Daroca 60,Bicipark Salamanca,Pl. del Marqués de Salamanca,2975.07
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,Bicipark Salamanca,Pl. del Marqués de Salamanca,2975.49
Colegio Público Nuestra Señora de la Paloma,Instalaciones accesibles NO municipales,Calle Tabernillas 2,Bicipark Almagro,"Calle Almagro, 11",2977.5
Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,Instalaciones accesibles NO municipales,Calle Virgen De Aranzazu 31,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,2978.82
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,Bicipark Orense,"Avenida General Perón, 27",2978.95
Instituto de Educación Secundaria (IES) Gregorio Marañón,Instalaciones accesibles NO municipales,Avenida El Ferrol 43,Bicipark Orense,"Avenida General Perón, 27",2984.85
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",2992.92
Colegio Mayor Vedruna,Instalaciones accesibles NO municipales,Glorieta Presidente Garcia Moreno 2,Bicipark Almagro,"Calle Almagro, 11",2994.42
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,Bicipark Orense,"Avenida General Perón, 27",3002.31
Centro de Día Privado 'Casa de las Flores',Instalaciones accesibles NO municipales,Calle Rodriguez San Pedro 72,Bicipark Recoletos,"Paseo de Recoletos, 2",3006.41
Colegio Mayor Santa María del Pino,Instalaciones accesibles NO municipales,Paseo San Francisco De Sales 13,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3006.73
Intercambiador de transporte. Moncloa,Instalaciones accesibles NO municipales,Calle Princesa 89,Bicipark Almagro,"Calle Almagro, 11",3006.83
Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,Bicipark Orense,"Avenida General Perón, 27",3007.13
Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,Bicipark Orense,"Avenida General Perón, 27",3016.04
Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3016.81
Jardines del Campo del Moro,Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3022.73
Teatros del Canal,Instalaciones accesibles NO municipales,Calle Cea Bermudez 1,Bicipark Salamanca,Pl. del Marqués de Salamanca,3029.47
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,Bicipark Recoletos,"Paseo de Recoletos, 2",3030.86
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,Bicipark Montalban,"Calle de Montalbán, 5",3032.59
La Neomudéjar,Instalaciones accesibles NO municipales,Calle Antonio Nebrija  Sin Número,Bicipark Almagro,"Calle Almagro, 11",3035.35
Intercambiador de transporte. Príncipe Pío,Instalaciones accesibles NO municipales,Paseo Florida 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3037.2
Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,Bicipark Salamanca,Pl. del Marqués de Salamanca,3044.49
Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,Bicipark Recuerdo,"Calle Hiedra, 26",3044.65
Centro de donación de sangre de Cruz Roja,Instalaciones accesibles NO municipales,Calle Juan Montalvo 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3045.3
Delegación Especial de Madrid. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3046.66
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3046.66
Intercambiador de transporte. Moncloa,Instalaciones accesibles NO municipales,Calle Princesa 89,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3048.93
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3049.73
Oficina de Empleo Prosperidad,Instalaciones accesibles NO municipales,Calle Canillas 104,Bicipark Orense,"Avenida General Perón, 27",3050.05
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,3060.82
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,Bicipark Salamanca,Pl. del Marqués de Salamanca,3062.92
Residencia para mayores y centro de día Peñuelas,Instalaciones accesibles NO municipales,Calle Arganda 11,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3065.84
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,Bicipark Orense,"Avenida General Perón, 27",3067.57
Instalación Deportiva Canal de Isabel II,Instalaciones accesibles NO municipales,Avenida Filipinas 54,Bicipark Montalban,"Calle de Montalbán, 5",3069.38
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,Bicipark Montalban,"Calle de Montalbán, 5",3069.83
Biblioteca Pública Elena Fortún (Retiro),Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 189,Bicipark Salamanca,Pl. del Marqués de Salamanca,3070.5
Oficina de Correos. Sucursal 25. Calle Mariano Fernández,Instalaciones accesibles NO municipales,Calle Mariano Fernandez 1,Bicipark Almagro,"Calle Almagro, 11",3072.16
Biblioteca Pública Rafael Alberti (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Sangenjo 38,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3073.36
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3076.74
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,Bicipark Recoletos,"Paseo de Recoletos, 2",3078.83
Instalación deportiva para mayores Concepción Arenal,Instalaciones accesibles NO municipales,Calle Javier Del Quinto 12 Está Ubicado Dentro Del Centro De Servicios Sociales “Concepción Arenal”,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3080.76
"Asociación esclerosis múltiple Madrid, centro de rehabilitación",Instalaciones accesibles NO municipales,Calle Sangenjo 36 Planta 1º,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3084.44
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,Bicipark Orense,"Avenida General Perón, 27",3086.4
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,Bicipark Orense,"Avenida General Perón, 27",3089.9
Oficina de Correos. Sucursal 40. Calle Tellez,Instalaciones accesibles NO municipales,Calle Tellez 27,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3094.39
Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,Bicipark Orense,"Avenida General Perón, 27",3096.86
Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,Bicipark Salamanca,Pl. del Marqués de Salamanca,3097.25
Jardines del Campo del Moro,Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,Bicipark Recoletos,"Paseo de Recoletos, 2",3097.31
Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,Bicipark Almagro,"Calle Almagro, 11",3099.79
Colegio Mayor Alcor,Instalaciones accesibles NO municipales,Calle General Ampudia 7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3104.56
Capilla de San Isidro,Instalaciones accesibles NO municipales,Calle Aguila 1,Bicipark Almagro,"Calle Almagro, 11",3104.88
Instituto de Educación Secundaria (IES) Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Diego De Valderrabano 35,Bicipark Salamanca,Pl. del Marqués de Salamanca,3106.21
Colegio Mayor Aquinas (Santo Tomás de Aquino),Instalaciones accesibles NO municipales,Calle Leonardo Prieto Castro 6,Bicipark Orense,"Avenida General Perón, 27",3118.78
Oficina de Empleo Prosperidad,Instalaciones accesibles NO municipales,Calle Canillas 104,Bicipark Almagro,"Calle Almagro, 11",3122.5
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,Bicipark Salamanca,Pl. del Marqués de Salamanca,3125.35
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,Bicipark Orense,"Avenida General Perón, 27",3127.72
Oficina de Correos. Sucursal 40. Calle Tellez,Instalaciones accesibles NO municipales,Calle Tellez 27,Bicipark Salamanca,Pl. del Marqués de Salamanca,3136.1
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,Bicipark Aviación,Parking Aviación Española,3138.19
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,Bicipark Orense,"Avenida General Perón, 27",3143.14
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,Bicipark Salamanca,Pl. del Marqués de Salamanca,3146.2
Oficina de Correos. Sucursal 46. Calle Guzmán el Bueno,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 86,Bicipark Recoletos,"Paseo de Recoletos, 2",3148.28
Colegio Mayor Nuestra Señora de África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 8,Bicipark Orense,"Avenida General Perón, 27",3150.01
Centro de día y residencia Medinaceli para personas con discapacidad intelectual,Instalaciones accesibles NO municipales,Calle Estudiantes 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3152.18
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,Bicipark Recoletos,"Paseo de Recoletos, 2",3153.58
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,Bicipark Almagro,"Calle Almagro, 11",3153.62
Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,Bicipark Almagro,"Calle Almagro, 11",3155.92
Servicios centrales. Servicio Público de Empleo Estatal,Instalaciones accesibles NO municipales,Calle Victor De La Serna 43,Bicipark Salamanca,Pl. del Marqués de Salamanca,3156.4
Centro de día Argüelles,Instalaciones accesibles NO municipales,Calle Andres Mellado 31,Bicipark Orense,"Avenida General Perón, 27",3156.71
Intercambiador de transporte. Príncipe Pío,Instalaciones accesibles NO municipales,Paseo Florida 2,Bicipark Recoletos,"Paseo de Recoletos, 2",3157.53
Oficina de Correos. Sucursal 05. Carrera de San Francisco,Instalaciones accesibles NO municipales,Carrera San Francisco 13,Bicipark Almagro,"Calle Almagro, 11",3160.35
Servicios centrales. Servicio Público de Empleo Estatal,Instalaciones accesibles NO municipales,Calle Victor De La Serna 43,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3161.07
Oficina de Correos. Sucursal 02. Calle Luis Vives,Instalaciones accesibles NO municipales,Calle Luis Vives 12,Bicipark Recuerdo,"Calle Hiedra, 26",3161.58
Centro de Natación Mundial 86 (M - 86),Instalaciones accesibles NO municipales,Calle Jose Martinez De Velasco 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3162.19
Instalación Deportiva Canal de Isabel II,Instalaciones accesibles NO municipales,Avenida Filipinas 54,Bicipark Salamanca,Pl. del Marqués de Salamanca,3162.31
Centro de día Argüelles,Instalaciones accesibles NO municipales,Calle Andres Mellado 31,Bicipark Montalban,"Calle de Montalbán, 5",3166.09
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,Bicipark Recuerdo,"Calle Hiedra, 26",3169.21
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,Bicipark Montalban,"Calle de Montalbán, 5",3169.31
Oficina de Correos. Sucursal 07. Calle Palos de la Frontera,Instalaciones accesibles NO municipales,Calle Palos De La Frontera 6 Y 10,Bicipark Almagro,"Calle Almagro, 11",3180.36
Escuela Infantil Conde de Elda,Instalaciones accesibles NO municipales,Calle Ponferrada 16,Bicipark Orense,"Avenida General Perón, 27",3185.55
Parroquia Santísima Trinidad,Instalaciones accesibles NO municipales,Calle Martinez Villergas 8,Bicipark Salamanca,Pl. del Marqués de Salamanca,3190.1
Intercambiador de transporte. Méndez Álvaro - Estación Sur,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,Bicipark Recoletos,"Paseo de Recoletos, 2",3195.62
Estación Sur de Autobuses de Madrid,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,Bicipark Recoletos,"Paseo de Recoletos, 2",3197.99
Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,Bicipark Salamanca,Pl. del Marqués de Salamanca,3204.54
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,Bicipark Salamanca,Pl. del Marqués de Salamanca,3206.38
Oficina de Correos. Sucursal 02. Calle Luis Vives,Instalaciones accesibles NO municipales,Calle Luis Vives 12,Bicipark Recoletos,"Paseo de Recoletos, 2",3210.9
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,Bicipark Orense,"Avenida General Perón, 27",3211.94
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,Bicipark Orense,"Avenida General Perón, 27",3213.8
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,Bicipark Salamanca,Pl. del Marqués de Salamanca,3218.23
Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,Bicipark Aviación,Parking Aviación Española,3218.24
Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3223.22
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,Bicipark Recuerdo,"Calle Hiedra, 26",3227.29
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,Bicipark Recuerdo,"Calle Hiedra, 26",3233.82
Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,Bicipark Almagro,"Calle Almagro, 11",3236.14
Cine Cinesa Méndez Álvaro,Instalaciones accesibles NO municipales,Calle Acanto 2,Bicipark Recoletos,"Paseo de Recoletos, 2",3239.16
Oficina de Empleo Usera,Instalaciones accesibles NO municipales,Calle Antonio Lopez 101,Bicipark Montalban,"Calle de Montalbán, 5",3240.19
Oficina de Correos. Sucursal 25. Calle Mariano Fernández,Instalaciones accesibles NO municipales,Calle Mariano Fernandez 1,Bicipark Recuerdo,"Calle Hiedra, 26",3244.42
Real Basílica San Francisco el Grande,Instalaciones accesibles NO municipales,Calle San Buenaventura 1,Bicipark Almagro,"Calle Almagro, 11",3245.34
Sede QuedaT.com Chamartín,Instalaciones accesibles NO municipales,Pasaje Doña Carlota 13,Bicipark Recuerdo,"Calle Hiedra, 26",3245.36
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,Bicipark Montalban,"Calle de Montalbán, 5",3247.78
Colegio Mayor Juan Luis Vives,Instalaciones accesibles NO municipales,Calle Francisco Suarez 7,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3248.86
Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,Bicipark Salamanca,Pl. del Marqués de Salamanca,3253.28
Oficina Joven TIVE - Moncloa,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 88,Bicipark Recoletos,"Paseo de Recoletos, 2",3254.22
Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,Bicipark Recuerdo,"Calle Hiedra, 26",3254.86
Intercambiador de transporte. Príncipe Pío,Instalaciones accesibles NO municipales,Paseo Florida 2,Bicipark Almagro,"Calle Almagro, 11",3255.31
Colegio Mayor Vedruna,Instalaciones accesibles NO municipales,Glorieta Presidente Garcia Moreno 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3255.73
Colegio La Salle-La Paloma - Fundación Lara,Instalaciones accesibles NO municipales,Calle Paloma 21,Bicipark Almagro,"Calle Almagro, 11",3256.38
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,Bicipark Orense,"Avenida General Perón, 27",3256.78
Jardines del Campo del Moro,Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,Bicipark Montalban,"Calle de Montalbán, 5",3257.66
Centro de Día Privado 'Casa de las Flores',Instalaciones accesibles NO municipales,Calle Rodriguez San Pedro 72,Bicipark Montalban,"Calle de Montalbán, 5",3262.78
Jardines del Campo del Moro,Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,Bicipark Almagro,"Calle Almagro, 11",3277.33
Oficina de Empleo Legazpi,Instalaciones accesibles NO municipales,Paseo Acacias 23,Bicipark Almagro,"Calle Almagro, 11",3285.02
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,Bicipark Recoletos,"Paseo de Recoletos, 2",3285.83
Biblioteca Pública Pedro Salinas (Centro),Instalaciones accesibles NO municipales,Glorieta Puerta De Toledo 1,Bicipark Almagro,"Calle Almagro, 11",3288.37
Instituto de Educación Secundaria (IES) Conde de Orgaz,Instalaciones accesibles NO municipales,Calle Napoles 56,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3289.31
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,Bicipark Orense,"Avenida General Perón, 27",3289.93
Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",3291.61
Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,Bicipark Almagro,"Calle Almagro, 11",3292.22
Centro de Natación Mundial 86 (M - 86),Instalaciones accesibles NO municipales,Calle Jose Martinez De Velasco 3,Bicipark Almagro,"Calle Almagro, 11",3306.9
Biblioteca Pública Hortaleza,Instalaciones accesibles NO municipales,Calle Abertura 2,Bicipark Recuerdo,"Calle Hiedra, 26",3311.42
Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,3311.67
Oficina de Correos. Sucursal 42. Centro Comercial La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Orense,"Avenida General Perón, 27",3314.26
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,Bicipark Orense,"Avenida General Perón, 27",3314.26
Residencia Universitaria Augustinus Nebrija,Instalaciones accesibles NO municipales,Calle Cea Bermudez 59,Bicipark Recoletos,"Paseo de Recoletos, 2",3320.95
Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Instalaciones accesibles NO municipales,Calle Via Limite 14,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3322.02
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,Bicipark Aviación,Parking Aviación Española,3322.45
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,Bicipark Recoletos,"Paseo de Recoletos, 2",3328.38
Colegio Mayor Loyola,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 17,Bicipark Almagro,"Calle Almagro, 11",3329.77
Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,Bicipark Recoletos,"Paseo de Recoletos, 2",3330.78
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,Bicipark Recoletos,"Paseo de Recoletos, 2",3331.79
Oficina de Correos. Sucursal 02. Calle Luis Vives,Instalaciones accesibles NO municipales,Calle Luis Vives 12,Bicipark Montalban,"Calle de Montalbán, 5",3333.21
Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3333.78
Intercambiador de transporte. Príncipe Pío,Instalaciones accesibles NO municipales,Paseo Florida 2,Bicipark Montalban,"Calle de Montalbán, 5",3335.03
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,Bicipark Orense,"Avenida General Perón, 27",3337.93
Museo de América,Instalaciones accesibles NO municipales,Avenida Reyes Catolicos 6,Bicipark Almagro,"Calle Almagro, 11",3340.51
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3342.39
Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",3343.39
Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3348.57
Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,Bicipark Almagro,"Calle Almagro, 11",3349.08
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,Bicipark Recoletos,"Paseo de Recoletos, 2",3351.18
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,Bicipark Orense,"Avenida General Perón, 27",3353.61
