Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address
Instituto de Educación Secundaria (IES) San Cristóbal de los Ángeles,Instalaciones accesibles NO municipales,Plaza Pinazo 7,8439.15,Bicipark Montalban,"Calle de Montalbán, 5"
Instituto de Educación Secundaria (IES) San Fernando,Instalaciones accesibles NO municipales,Carretera Colmenar Viejo Km.13500,5131.23,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,724.8,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Instituto de Educación Secundaria (IES) Santa Eugenia,Instalaciones accesibles NO municipales,Calle Cerro De Almodovar 5,9808.46,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Instalaciones accesibles NO municipales,Calle Via Limite 14,1293.13,Bicipark Recuerdo,"Calle Hiedra, 26"
Instituto de Educación Secundaria (IES) Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Indalecio Prieto 1,7243.29,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Villa de Vallecas,Instalaciones accesibles NO municipales,Calle Villarino De Los Aires 14,8668.13,Bicipark Salamanca,Pl. del Marqués de Salamanca
Instituto de Educación Secundaria (IES) Villaverde,Instalaciones accesibles NO municipales,Calle Alianza 20,6753.92,Bicipark Montalban,"Calle de Montalbán, 5"
Instituto de Educación Secundaria (IES) Vista Alegre,Instalaciones accesibles NO municipales,Calle General Ricardos 177,5268.53,Bicipark Aviación,Parking Aviación Española
Intercambiador de transporte. Aeropuerto T1 - T2 - T3,Instalaciones accesibles NO municipales,Avenida Hispanidad 44,10582.51,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Intercambiador de transporte. Aeropuerto T4,Instalaciones accesibles NO municipales,Carretera M-110 250,7779.37,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Intercambiador de transporte. Aluche,Instalaciones accesibles NO municipales,Avenida Poblados 41,2563.38,Bicipark Aviación,Parking Aviación Española
Intercambiador de transporte. Avenida de América,Instalaciones accesibles NO municipales,Intercambiador Avenida De America,889.39,Bicipark Salamanca,Pl. del Marqués de Salamanca
Intercambiador de transporte. Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 40,542.17,Bicipark Recuerdo,"Calle Hiedra, 26"
Intercambiador de transporte. Moncloa,Instalaciones accesibles NO municipales,Calle Princesa 89,3006.83,Bicipark Almagro,"Calle Almagro, 11"
Intercambiador de transporte. Méndez Álvaro - Estación Sur,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,2902.26,Bicipark Montalban,"Calle de Montalbán, 5"
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,736.91,Bicipark Orense,"Avenida General Perón, 27"
Intercambiador de transporte. Plaza Elíptica,Instalaciones accesibles NO municipales,Plaza Eliptica 3,4816.45,Bicipark Montalban,"Calle de Montalbán, 5"
Intercambiador de transporte. Plaza de Castilla,Instalaciones accesibles NO municipales,Paseo Castellana 195,1225.77,Bicipark Recuerdo,"Calle Hiedra, 26"
Intercambiador de transporte. Príncipe Pío,Instalaciones accesibles NO municipales,Paseo Florida 2,3037.2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,1251.87,Bicipark Recoletos,"Paseo de Recoletos, 2"
Jardines del Campo del Moro,Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,3022.73,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
La Casa Encendida de la Fundación Montemadrid,Instalaciones accesibles NO municipales,Ronda Valencia 2,1686.52,Bicipark Montalban,"Calle de Montalbán, 5"
La Neomudéjar,Instalaciones accesibles NO municipales,Calle Antonio Nebrija  Sin Número,1694.79,Bicipark Montalban,"Calle de Montalbán, 5"
Mercado de San Miguel,Instalaciones accesibles NO municipales,Plaza San Miguel,1971.85,Bicipark Recoletos,"Paseo de Recoletos, 2"
"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación. Sede Palacio de Santa Cruz",Instalaciones accesibles NO municipales,Plaza Provincia 1,1661.09,Bicipark Recoletos,"Paseo de Recoletos, 2"
Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,434.49,Bicipark Orense,"Avenida General Perón, 27"
Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,706.7,Bicipark Almagro,"Calle Almagro, 11"
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,611.69,Bicipark Montalban,"Calle de Montalbán, 5"
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,332.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Movistar Academy Magariños,Instalaciones accesibles NO municipales,Calle Serrano 129,1452.81,Bicipark Orense,"Avenida General Perón, 27"
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,1778.49,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,537.43,Bicipark Recoletos,"Paseo de Recoletos, 2"
Museo Casa de la Moneda,Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 36,1410.63,Bicipark Salamanca,Pl. del Marqués de Salamanca
Museo Los Caños del Peral. Estación de Metro Ópera,Instalaciones accesibles NO municipales,Plaza Isabel Ii 1,1913.58,Bicipark Recoletos,"Paseo de Recoletos, 2"
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,1031.92,Bicipark Almagro,"Calle Almagro, 11"
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,1115.49,Bicipark Montalban,"Calle de Montalbán, 5"
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,500.59,Bicipark Montalban,"Calle de Montalbán, 5"
Museo Nacional de Antropología,Instalaciones accesibles NO municipales,Calle Alfonso Xii 68,1161.94,Bicipark Montalban,"Calle de Montalbán, 5"
Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,1159.25,Bicipark Almagro,"Calle Almagro, 11"
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,217.68,Bicipark Montalban,"Calle de Montalbán, 5"
Museo Postal y Telegráfico,Instalaciones accesibles NO municipales,Calle Tapia De Casariego 6,5842.95,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Museo Tiflológico,Instalaciones accesibles NO municipales,Calle La Coruña 18,744.29,Bicipark Orense,"Avenida General Perón, 27"
Museo de América,Instalaciones accesibles NO municipales,Avenida Reyes Catolicos 6,3340.51,Bicipark Almagro,"Calle Almagro, 11"
Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,976.6,Bicipark Almagro,"Calle Almagro, 11"
Museo de Mineralogía,Instalaciones accesibles NO municipales,Calle Francisco Tomas Y Valiente 7 Facultad De Ciencias - Departamento Geología Y Geoquímica,6425.41,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Museo de la Catedral de la Almudena,Instalaciones accesibles NO municipales,Calle Bailen 10,2448.84,Bicipark Recoletos,"Paseo de Recoletos, 2"
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,984.54,Bicipark Recoletos,"Paseo de Recoletos, 2"
Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,2016.05,Bicipark Montalban,"Calle de Montalbán, 5"
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,488.39,Bicipark Montalban,"Calle de Montalbán, 5"
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,567.97,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Museo del Traje. Centro de Investigación del Patrimonio Etnológico (CIPE),Instalaciones accesibles NO municipales,Avenida Juan De Herrera 2,4033.29,Bicipark Almagro,"Calle Almagro, 11"
Norte Joven Fuencarral,Instalaciones accesibles NO municipales,Calle Ribadavia 20,2505.45,Bicipark Orense,"Avenida General Perón, 27"
Numen centro de atención integral,Instalaciones accesibles NO municipales,Calle Tabatinga 11 Planta Baja,5389.28,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina Joven TIVE - Moncloa,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 88,2818.16,Bicipark Almagro,"Calle Almagro, 11"
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,204.91,Bicipark Recoletos,"Paseo de Recoletos, 2"
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,790.88,Bicipark Montalban,"Calle de Montalbán, 5"
Oficina de Correos. Sucursal 02. Calle Luis Vives,Instalaciones accesibles NO municipales,Calle Luis Vives 12,1582.14,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,1374.72,Bicipark Orense,"Avenida General Perón, 27"
Oficina de Correos. Sucursal 04. Calle General Ricardos,Instalaciones accesibles NO municipales,Calle General Ricardos 212,5135.57,Bicipark Aviación,Parking Aviación Española
Oficina de Correos. Sucursal 05. Carrera de San Francisco,Instalaciones accesibles NO municipales,Carrera San Francisco 13,2581.86,Bicipark Recoletos,"Paseo de Recoletos, 2"
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,781.86,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 07. Calle Palos de la Frontera,Instalaciones accesibles NO municipales,Calle Palos De La Frontera 6 Y 10,2001.02,Bicipark Montalban,"Calle de Montalbán, 5"
Oficina de Correos. Sucursal 09. Calle Mártires Concepcionistas,Instalaciones accesibles NO municipales,Calle Martires Concepcionistas 21,952.99,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,1107.94,Bicipark Almagro,"Calle Almagro, 11"
"Oficina de Correos. Sucursal 102. Avenida Ensanche de Vallecas, 106-108",Instalaciones accesibles NO municipales,Avenida Ensanche De Vallecas 106,12128.31,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 13. Avenida América,Instalaciones accesibles NO municipales,Avenida América 3,884.68,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 15. Calle Jacinto Verdaguer,Instalaciones accesibles NO municipales,Calle Jacinto Verdaguer 4,3569.28,Bicipark Montalban,"Calle de Montalbán, 5"
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,1366.42,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Oficina de Correos. Sucursal 19. Calle Chile,Instalaciones accesibles NO municipales,Calle Chile 4,1912.72,Bicipark Recuerdo,"Calle Hiedra, 26"
Oficina de Correos. Sucursal 20. Calle Alcalde López Casero,Instalaciones accesibles NO municipales,Calle Alcalde Lopez Casero 3,2638.72,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 21. Calle Antonio Arias,Instalaciones accesibles NO municipales,Calle Antonio Arias 2,1636.42,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 24. Plaza Párroco Luis Calleja,Instalaciones accesibles NO municipales,Plaza Parroco Luis Calleja 12,7254.47,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Oficina de Correos. Sucursal 25. Calle Mariano Fernández,Instalaciones accesibles NO municipales,Calle Mariano Fernandez 1,1068.7,Bicipark Orense,"Avenida General Perón, 27"
Oficina de Correos. Sucursal 26. Calle Longares,Instalaciones accesibles NO municipales,Calle Longares 30,7778.45,Bicipark Salamanca,Pl. del Marqués de Salamanca
Oficina de Correos. Sucursal 27. Calle Dobla,Instalaciones accesibles NO municipales,Calle Dobla 5,4975.69,Bicipark Aviación,Parking Aviación Española
Oficina de Correos. Sucursal 31. Calle Islas Palaos,Instalaciones accesibles NO municipales,Calle Islas Palaos 30,2922.17,Bicipark Recuerdo,"Calle Hiedra, 26"
Oficina de Correos. Sucursal 32. Plaza Rogelio Enríquez,Instalaciones accesibles NO municipales,Plaza Rogelio Enriquez 5,6339.74,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
